"campaignid","sample","family","genus","species","length","number","range"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",104.78274,1,1256.70663
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",93.26343,1,1262.0405
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",81.79867,1,963.89117
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",123.85242,1,820.15993
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",61.22427,1,450.41404
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",114.11867,1,913.85922
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",120.20999,1,1286.69217
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",67.51192,1,1493.67283
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",77.89174,1,1530.39397
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",90.79239,1,1384.91396
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",68.87099,1,1085.81108
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",78.97357,1,1746.66667
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",65.5132,1,1136.68973
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",73.82256,1,1020.98065
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",122.14572,1,1294.55266
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",99.20235,1,1540.53547
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",145.57649,1,2157.55933
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",66.68619,1,1188.90324
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",155.1197,1,2005.73579
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",146.65675,1,2171.6873
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",248.87191,1,1311.08592
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",64.37259,1,1436.67907
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",62.44309,1,848.14376
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",70.88636,1,1211.47991
