"campaignid","sample","filename","period","periodtime","family","genus","species","comment","maxn","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (03).MP4","1","11.72560","Labridae","Choerodon","rubescens",NA,6,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (04).MP4","1","37.17658","Labridae","Coris","auricularis",NA,51,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (02).MP4","1","0.29891","Labridae","Coris","caudimacula",NA,1,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (04).MP4","1","41.52009","Labridae","Labroides","dimidiatus",NA,3,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (02).MP4","1","0.74575","Labridae","Suezichthys","cyanolaemus",NA,2,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (03).MP4","1","11.50566","Labridae","Thalassoma","lutescens","check",3,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (03).MP4","1","18.01578","Lethrinidae","Lethrinus","miniatus",NA,5,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (03).MP4","1","13.09086","Lethrinidae","Lethrinus","nebulosus",NA,2,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (03).MP4","1","20.82469","Lethrinidae","Lethrinus","ravus",NA,4,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (03).MP4","1","17.12155","Monacanthidae","Aluterus","scriptus","check",1,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (04).MP4","1","46.68803","Mullidae","Parupeneus","spilurus",NA,12,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (04).MP4","1","45.94173","Pomacanthidae","Pomacanthus","semicirculatus",NA,1,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (02).MP4","1","3.58330","Pomacentridae","Chromis","spp",NA,42,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
