"sample","family","genus","species","length","range","number","mass.g","length.cm","campaignid","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","id"
"npz6.10","Pomacentridae","Parma","mccullochi",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Rhinidae","Rhynchobatus","australiae",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Serranidae","Epinephelus","morrhua",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Serranidae","Epinephelus","rivulatus",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Siganidae","Siganus","punctatus",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Sparidae","Chrysophrys","auratus",367.40997,1530.25354,1,1050.70916332881,36.740997,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Sparidae","Chrysophrys","auratus",303.44706,1284.89741,1,615.84807383765,30.344706,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Sparidae","Chrysophrys","auratus",327.17062,1277.9053,1,759.942203869632,32.717062,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Sparidae","Chrysophrys","auratus",292.07022,1382.25058,1,553.505472812864,29.207022,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Sphyrnidae","Sphyrna","lewini",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
