OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
npz6.4	30	L029 (09).MP4	80107	R030 (10).MP4	830	89.85977	1	32.53472	-471.54695	-224.39275	-1142.74209	1.16081	0.73792	2.63200	9.83329	1256.41080	24.77425	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.4	38	L029 (09).MP4	80794	R030 (10).MP4	1517	90.05079	1	32.72575	259.62305	-218.13787	-1678.93373	1.18367	1.07353	5.81282	22.06102	1712.83588	11.74023	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.4	41	L029 (10).MP4	4809	R030 (10).MP4	6593	91.46220	1	34.13716	1651.27448	1523.25424	-5922.54847	19.40173	18.75795	69.91999	71.43491	6334.31853	20.44314	Scombridae	Scomberomorus	spp		1	AD	Passing			
npz6.4	42	L029 (10).MP4	4809	R030 (10).MP4	6593	91.46220	1	34.13716	1456.53437	872.67067	-5407.78154	15.76240	10.28968	58.71982	59.20853	5668.08148	17.18418	Scombridae	Scomberomorus	spp		1	AD	Passing			
npz6.4	43	L029 (10).MP4	4809	R030 (10).MP4	6593	91.46220	1	34.13716	-1152.38233	320.44369	-2005.16752	4.14322	1.54832	7.41952	49.33834	2334.81605	30.68837	Scombridae	Scomberomorus	spp		1	AD	Passing			
npz6.4	44	L029 (10).MP4	4980	R030 (10).MP4	6764	91.50975	1	34.18471	-2493.79230	800.13655	-5320.32659	24.92785	8.91722	54.14935	27.88483	5930.01632	26.06337	Scombridae	Scomberomorus	spp		1	AD	Passing			
npz6.4	45	L029 (10).MP4	4980	R030 (10).MP4	6764	91.50975	1	34.18471	-1618.33206	1068.94200	-6809.70766	21.96473	15.65123	92.63066	65.75017	7080.51934	15.63238	Scombridae	Scomberomorus	spp		1	AD	Passing			
npz6.4	46	L029 (10).MP4	4980	R030 (10).MP4	6764	91.50975	1	34.18471	-1847.47488	788.04191	-7299.94123	26.83331	12.88253	106.48349	62.49783	7571.21625	15.19784	Scombridae	Scomberomorus	spp		1	AD	Passing			
npz6.5	0	L041 (06).MP4	23188	R042 (06).MP4	25075	6.44755		-1.00000	60.62521	41.46008	-1142.38673	0.58271	0.56889	2.63794	7.27285	1144.74529	3.52116								sync		
npz6.5	1	L041 (09).MP4	5694	R042 (09).MP4	7642	69.21887	1	5.91452	2895.47555	1395.74024	-5816.48699	30.37208	15.35815	61.90591	57.91088	6645.55418	28.79962	Carangidae	Seriola	hippos	37337007	1	AD	Passing			
